1,Ajax,56,18,2,2,72,17,18,2021,24,eredivisie
2,PSV,50,15,5,3,54,25,18,2021,24,eredivisie
3,AZ Alkmaar,46,13,7,3,52,33,18,2021,24,eredivisie
4,Vitesse,45,14,3,7,39,25,18,2021,24,eredivisie
5,Feyenoord,43,12,7,4,44,22,18,2021,24,eredivisie
6,Groningen,39,11,6,6,30,24,18,2021,24,eredivisie
7,Twente 1965,35,9,8,7,39,32,18,2021,24,eredivisie
8,Utrecht,34,8,10,5,36,29,18,2021,24,eredivisie
9,Fortuna Sittard,31,9,4,10,35,41,18,2021,24,eredivisie
10,Heerenveen,30,7,9,8,32,35,18,2021,24,eredivisie
11,Heracles,29,8,5,11,26,37,18,2021,24,eredivisie
12,PEC Zwolle,26,5,11,8,32,38,18,2021,24,eredivisie
13,Sparta Rotterdam,24,6,6,11,32,38,18,2021,24,eredivisie
14,RKC Waalwijk,23,5,8,11,22,35,18,2021,24,eredivisie
15,VVV Venlo,22,6,4,13,37,60,18,2021,24,eredivisie
16,Willem II,15,3,6,15,25,54,18,2021,24,eredivisie
17,ADO Den Haag,15,2,9,13,20,50,18,2021,24,eredivisie
18,Emmen,12,2,6,16,21,53,18,2021,24,eredivisie
